#Date;Inv;Psum;Pmax
1/7/25;0;36378;0
1/7/25;1;3799;0
30/6/25;0;30112;0
30/6/25;1;3211;0
29/6/25;0;34096;0
29/6/25;1;3674;0
28/6/25;0;39351;0
28/6/25;1;4177;0
27/6/25;0;34170;0
27/6/25;1;3542;0
26/6/25;0;47607;0
26/6/25;1;5166;0
25/6/25;0;46341;0
25/6/25;1;4965;0
24/6/25;0;48002;0
24/6/25;1;5185;0
23/6/25;0;48094;0
23/6/25;1;5053;0
22/6/25;0;36684;0
22/6/25;1;3778;0
21/6/25;0;39027;0
21/6/25;1;4080;0
20/6/25;0;50337;0
20/6/25;1;5408;0
19/6/25;0;49866;0
19/6/25;1;5307;0
18/6/25;0;51065;0
18/6/25;1;5464;0
17/6/25;0;51473;0
17/6/25;1;5573;0
16/6/25;0;49143;0
16/6/25;1;5341;0
15/6/25;0;43571;0
15/6/25;1;4558;0
14/6/25;0;38073;0
14/6/25;1;3988;0
13/6/25;0;29161;0
13/6/25;1;3028;0
12/6/25;0;50585;0
12/6/25;1;5415;0
11/6/25;0;37579;0
11/6/25;1;3911;0
10/6/25;0;45216;0
10/6/25;1;4779;0
9/6/25;0;44130;0
9/6/25;1;4712;0
8/6/25;0;36240;0
8/6/25;1;4950;0
7/6/25;0;57188;0
7/6/25;1;6223;0
6/6/25;0;31872;0
6/6/25;1;5499;0
5/6/25;0;53642;0
5/6/25;1;5712;0
4/6/25;0;56440;0
4/6/25;1;5971;0
3/6/25;0;47068;0
3/6/25;1;5001;0
2/6/25;0;42479;0
2/6/25;1;4563;0
1/6/25;0;7873;0
1/6/25;1;3990;0
31/5/25;0;16477;0
31/5/25;1;2315;0
30/5/25;0;10310;0
30/5/25;1;3642;0
29/5/25;0;3996;0
29/5/25;1;2237;0
28/5/25;0;46373;0
28/5/25;1;5001;0
27/5/25;0;6527;0
27/5/25;1;4097;0
26/5/25;0;26372;0
26/5/25;1;3347;0
25/5/25;0;33307;0
25/5/25;1;3639;0
24/5/25;0;14511;0
24/5/25;1;4050;0
23/5/25;0;45412;0
23/5/25;1;4808;0
22/5/25;0;46845;0
22/5/25;1;5147;0
21/5/25;0;17146;0
21/5/25;1;1801;0
20/5/25;0;35998;0
20/5/25;1;3924;0
19/5/25;0;39293;0
19/5/25;1;4380;0
18/5/25;0;36272;0
18/5/25;1;4190;0
17/5/25;0;23292;0
17/5/25;1;2816;0
16/5/25;0;40817;0
16/5/25;1;4369;0
15/5/25;0;36257;0
15/5/25;1;3856;0
14/5/25;0;18780;0
14/5/25;1;2014;0
13/5/25;0;39215;0
13/5/25;1;4263;0
12/5/25;0;24831;0
12/5/25;1;2629;0
11/5/25;0;35549;0
11/5/25;1;3802;0
10/5/25;0;36918;0
10/5/25;1;3914;0
9/5/25;0;50038;0
9/5/25;1;5310;0
8/5/25;0;43978;0
8/5/25;1;4724;0
7/5/25;0;29408;0
7/5/25;1;3066;0
6/5/25;0;47767;0
6/5/25;1;5069;0
5/5/25;0;34501;0
5/5/25;1;3638;0
4/5/25;0;42048;0
4/5/25;1;4382;0
3/5/25;0;33948;0
3/5/25;1;3606;0
2/5/25;0;30379;0
2/5/25;1;3177;0
1/5/25;0;38632;0
1/5/25;1;4372;0
30/4/25;0;49416;0
30/4/25;1;5137;0
29/4/25;0;43804;0
29/4/25;1;4576;0
28/4/25;0;35583;0
28/4/25;1;3761;0
27/4/25;0;29112;0
27/4/25;1;2948;0
26/4/25;0;48613;0
26/4/25;1;5198;0
25/4/25;0;55358;0
25/4/25;1;5889;0
24/4/25;0;41811;0
24/4/25;1;4463;0
23/4/25;0;55226;0
23/4/25;1;5838;0
22/4/25;0;53171;0
22/4/25;1;5640;0
21/4/25;0;46002;0
21/4/25;1;4761;0
20/4/25;0;45971;0
20/4/25;1;4922;0
19/4/25;0;30335;0
19/4/25;1;3135;0
18/4/25;0;44291;0
18/4/25;1;4676;0
17/4/25;0;53274;0
17/4/25;1;5648;0
16/4/25;0;43016;0
16/4/25;1;4594;0
15/4/25;0;34045;0
15/4/25;1;3477;0
14/4/25;0;28600;0
14/4/25;1;3009;0
13/4/25;0;39692;0
13/4/25;1;4206;0
12/4/25;0;45711;0
12/4/25;1;4745;0
11/4/25;0;43254;0
11/4/25;1;4533;0
10/4/25;0;36497;0
10/4/25;1;3731;0
9/4/25;0;49231;0
9/4/25;1;5004;0
8/4/25;0;46777;0
8/4/25;1;4783;0
7/4/25;0;39690;0
7/4/25;1;4154;0
6/4/25;0;43562;0
6/4/25;1;4496;0
5/4/25;0;45661;0
5/4/25;1;4744;0
4/4/25;0;40369;0
4/4/25;1;4062;0
3/4/25;0;45064;0
3/4/25;1;4737;0
2/4/25;0;48891;0
2/4/25;1;4956;0
1/4/25;0;39803;0
1/4/25;1;4148;0
31/3/25;0;26195;0
31/3/25;1;2677;0
30/3/25;0;19232;0
30/3/25;1;1944;0
29/3/25;0;50087;0
29/3/25;1;5066;0
28/3/25;0;54312;0
28/3/25;1;5492;0
27/3/25;0;41352;0
27/3/25;1;4169;0
26/3/25;0;42935;0
26/3/25;1;4234;0
25/3/25;0;45921;0
25/3/25;1;4446;0
24/3/25;0;45010;0
24/3/25;1;4186;0
23/3/25;0;51175;0
23/3/25;1;4853;0
22/3/25;0;53196;0
22/3/25;1;5107;0
